model,feature_strategy,variant,split,k,class_weight,thresholds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0,uncertain_rate_3star,domain_label,train_seconds,notes
logreg,tfidf_chi2,chi2_l2_w2,val,2000,w2,0.40|0.60,0.9606410084484377,0.978317881283936,0.8119850187265918,0.7633802816901408,0.7869328493647912,0.7726300784034212,0.9752559098608145,0.9813991403586779,0.978317881283936,0.9716373876894193,0.02836261231058068,0.8485639686684073,0.7991803278688525,0.8085918062696965,0.20081967213114754,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w5,val,2000,w5,0.40|0.60,0.9502480890438514,0.972084273890143,0.6854485776805251,0.8823943661971831,0.771551724137931,0.8344432605221097,0.9872382699067705,0.9573884689491626,0.972084273890143,0.9622502346788253,0.03774976532117469,0.7565831727681439,0.9075500770416025,0.8727218847236627,0.09244992295839753,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w10,val,2000,w10,0.40|0.60,0.9308032720933351,0.9605595047007567,0.5865298840321141,0.926056338028169,0.718186783178591,0.8299671800050492,0.9917140151515151,0.9313028012449978,0.9605595047007567,0.9497787313933217,0.050221268606678304,0.6608066184074457,0.9452662721893491,0.8703350585671479,0.05473372781065089,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_none,val,5000,none,0.40|0.60,0.9574896070805954,0.9768308726794328,0.8764367816091954,0.6443661971830986,0.7426948051948052,0.6803985722784057,0.9635904830569575,0.9904401956425077,0.9768308726794328,0.9749228912431273,0.025077108756872746,0.9016203703703703,0.6721311475409836,0.7081818181818181,0.32786885245901637,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_balanced,val,5000,balanced,0.40|0.60,0.9354297975056993,0.9632540924180563,0.6038164470695139,0.9359154929577465,0.7340513670256835,0.8431671107727445,0.9928419727837646,0.9353786868237736,0.9632540924180563,0.9542041035268874,0.04579589647311255,0.6829268292682927,0.9512555391432792,0.8819501506436592,0.04874446085672083,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w2,val,5000,w2,0.40|0.60,0.964529971838541,0.9804371140120558,0.8258961228968544,0.7950704225352113,0.8101901686401148,0.8010500922378317,0.9785192293496715,0.9823625314954795,0.9804371140120558,0.9736489204774038,0.026351079522596188,0.858843537414966,0.8319604612850082,0.8372015915119363,0.16803953871499178,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w5,val,5000,w5,0.40|0.60,0.9559474319431407,0.9753313558367439,0.7149295774647887,0.893661971830986,0.7943661971830986,0.8511066398390342,0.9885074967653551,0.9625018526752631,0.9753313558367439,0.9664744535335926,0.033525546466407374,0.7797045600513809,0.9217919514047077,0.8893772893772893,0.07820804859529233,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_w10,val,5000,w10,0.40|0.60,0.9383129945018104,0.964968395400198,0.6164958061509785,0.9316901408450704,0.7420078519349411,0.8452593917710197,0.9924028822055138,0.9390099303394102,0.964968395400198,0.9588306289392518,0.04116937106074825,0.6898395721925134,0.9527326440177253,0.8852594015920944,0.047267355982274745,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_none,val,10000,none,0.40|0.60,0.9586965267533861,0.9774590163934426,0.8722222222222222,0.6633802816901408,0.7536,0.6967455621301775,0.9654474483157438,0.989773232547799,0.9774590163934426,0.9751910956148585,0.024808904385141495,0.8972911963882618,0.6883116883116883,0.7219397021431166,0.3116883116883117,,,,Validation grid Chi2 + LR
logreg,tfidf_chi2,chi2_l2_balanced,val,10000,balanced,0.40|0.60,0.9388494032452729,0.965278306556004,0.6185807656395892,0.9330985915492958,0.7439640651319483,0.8469700843773971,0.9925618540557469,0.9394545724025493,0.965278306556004,0.9595681909615127,0.04043180903848731,0.694815606627472,0.9516837481698389,0.8861622358554874,0.048316251830161056,,,,Validation grid Chi2 + LR
