model,split,label,precision,recall,f1,support_true,predicted_positive,frequency_true
ovr_logreg,val,delivery_shipping,0.5360824742268041,0.5306122448979592,0.5333333333333333,98,97,0.05157894736842105
ovr_logreg,val,redemption_activation,0.2413793103448276,0.45161290322580644,0.3146067415730337,31,58,0.01631578947368421
ovr_logreg,val,product_quality,0.26495726495726496,0.4460431654676259,0.3324396782841823,139,234,0.0731578947368421
ovr_logreg,val,customer_service,0.2972972972972973,0.4230769230769231,0.3492063492063492,26,37,0.01368421052631579
ovr_logreg,val,refund_return,0.3076923076923077,0.4444444444444444,0.36363636363636365,9,13,0.004736842105263158
ovr_logreg,val,usability,0.3253012048192771,0.627906976744186,0.42857142857142855,86,166,0.045263157894736845
ovr_logreg,val,value_price,0.2537313432835821,0.2982456140350877,0.27419354838709675,57,67,0.03
ovr_logreg,val,fraud_scam,1.0,0.16666666666666666,0.2857142857142857,18,3,0.009473684210526316
ovr_logreg,val,other,0.8428874734607219,0.9974874371859297,0.9136939010356732,1592,1884,0.8378947368421052
ovr_logreg,test,delivery_shipping,0.4385026737967914,0.44565217391304346,0.4420485175202156,184,187,0.04842105263157895
ovr_logreg,test,redemption_activation,0.23595505617977527,0.40384615384615385,0.2978723404255319,52,89,0.01368421052631579
ovr_logreg,test,product_quality,0.23841059602649006,0.432,0.30725462304409673,250,453,0.06578947368421052
ovr_logreg,test,customer_service,0.17647058823529413,0.3103448275862069,0.225,29,51,0.007631578947368421
ovr_logreg,test,refund_return,0.38461538461538464,0.5,0.43478260869565216,20,26,0.005263157894736842
ovr_logreg,test,usability,0.35795454545454547,0.6395939086294417,0.45901639344262296,197,352,0.0518421052631579
ovr_logreg,test,value_price,0.24786324786324787,0.26851851851851855,0.2577777777777778,108,117,0.028421052631578948
ovr_logreg,test,fraud_scam,0.5,0.08823529411764706,0.15,34,6,0.008947368421052631
ovr_logreg,test,other,0.8382314005824728,0.9965376141013534,0.910555076215128,3177,3777,0.8360526315789474
ovr_linearsvm,val,delivery_shipping,0.47413793103448276,0.5612244897959183,0.514018691588785,98,116,0.05157894736842105
ovr_linearsvm,val,redemption_activation,0.2125,0.5483870967741935,0.3063063063063063,31,80,0.01631578947368421
ovr_linearsvm,val,product_quality,0.2674897119341564,0.4676258992805755,0.3403141361256545,139,243,0.0731578947368421
ovr_linearsvm,val,customer_service,0.23809523809523808,0.38461538461538464,0.29411764705882354,26,42,0.01368421052631579
ovr_linearsvm,val,refund_return,0.3125,0.5555555555555556,0.4,9,16,0.004736842105263158
ovr_linearsvm,val,usability,0.3227848101265823,0.5930232558139535,0.4180327868852459,86,158,0.045263157894736845
ovr_linearsvm,val,value_price,0.2459016393442623,0.5263157894736842,0.33519553072625696,57,122,0.03
ovr_linearsvm,val,fraud_scam,0.5,0.2222222222222222,0.3076923076923077,18,8,0.009473684210526316
ovr_linearsvm,val,other,0.8395778364116095,0.9993718592964824,0.9125322626899914,1592,1895,0.8378947368421052
ovr_linearsvm,test,delivery_shipping,0.40625,0.4945652173913043,0.44607843137254904,184,224,0.04842105263157895
ovr_linearsvm,test,redemption_activation,0.20869565217391303,0.46153846153846156,0.2874251497005988,52,115,0.01368421052631579
ovr_linearsvm,test,product_quality,0.2156448202959831,0.408,0.2821576763485477,250,473,0.06578947368421052
ovr_linearsvm,test,customer_service,0.11538461538461539,0.3103448275862069,0.16822429906542055,29,78,0.007631578947368421
ovr_linearsvm,test,refund_return,0.2857142857142857,0.6,0.3870967741935484,20,42,0.005263157894736842
ovr_linearsvm,test,usability,0.36716417910447763,0.6243654822335025,0.462406015037594,197,335,0.0518421052631579
ovr_linearsvm,test,value_price,0.24479166666666666,0.4351851851851852,0.31333333333333335,108,192,0.028421052631578948
ovr_linearsvm,test,fraud_scam,0.75,0.2647058823529412,0.391304347826087,34,12,0.008947368421052631
ovr_linearsvm,test,other,0.8367131946273374,1.0,0.9110983653570405,3177,3797,0.8360526315789474
ovr_blend_lr_svm,val,delivery_shipping,0.47413793103448276,0.5612244897959183,0.514018691588785,98,116,0.05157894736842105
ovr_blend_lr_svm,val,redemption_activation,0.2125,0.5483870967741935,0.3063063063063063,31,80,0.01631578947368421
ovr_blend_lr_svm,val,product_quality,0.26744186046511625,0.49640287769784175,0.34760705289672544,139,258,0.0731578947368421
ovr_blend_lr_svm,val,customer_service,0.29411764705882354,0.38461538461538464,0.3333333333333333,26,34,0.01368421052631579
ovr_blend_lr_svm,val,refund_return,0.29411764705882354,0.5555555555555556,0.38461538461538464,9,17,0.004736842105263158
ovr_blend_lr_svm,val,usability,0.3227848101265823,0.5930232558139535,0.4180327868852459,86,158,0.045263157894736845
ovr_blend_lr_svm,val,value_price,0.2459016393442623,0.5263157894736842,0.33519553072625696,57,122,0.03
ovr_blend_lr_svm,val,fraud_scam,0.8,0.2222222222222222,0.34782608695652173,18,5,0.009473684210526316
ovr_blend_lr_svm,val,other,0.8543263964950711,0.9798994974874372,0.9128145114101814,1592,1826,0.8378947368421052
ovr_blend_lr_svm,test,delivery_shipping,0.40625,0.4945652173913043,0.44607843137254904,184,224,0.04842105263157895
ovr_blend_lr_svm,test,redemption_activation,0.20869565217391303,0.46153846153846156,0.2874251497005988,52,115,0.01368421052631579
