label,count,prevalence
delivery_shipping,972,0.051157894736842104
redemption_activation,284,0.014947368421052631
product_quality,1251,0.0658421052631579
customer_service,182,0.009578947368421053
refund_return,93,0.004894736842105263
usability,873,0.04594736842105263
value_price,558,0.02936842105263158
fraud_scam,144,0.007578947368421052
other,15960,0.84
