split,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1
val,0.9634571543516159,0.9800212617764581,0.887511071744907,0.7056338028169014,0.7861906630051,0.7357908650315759,0.969677185346391,0.9905884096635542,0.9800212617764581
test,0.9613785704706986,0.9789034172069003,0.8819004524886878,0.6862676056338028,0.7718811881188119,0.7181282240235815,0.967738431457745,0.990329035126723,0.9789034172069003
