model,split,label,precision,recall,f1,support_true,predicted_positive,frequency_true
ovr_logreg,val,delivery_shipping,0.49107142857142855,0.5612244897959183,0.5238095238095238,98,112,0.05157894736842105
ovr_logreg,val,redemption_activation,0.2597402597402597,0.6451612903225806,0.37037037037037035,31,77,0.01631578947368421
ovr_logreg,val,product_quality,0.28517110266159695,0.539568345323741,0.373134328358209,139,263,0.0731578947368421
ovr_logreg,val,customer_service,0.22857142857142856,0.6153846153846154,0.3333333333333333,26,70,0.01368421052631579
ovr_logreg,val,refund_return,0.18518518518518517,0.5555555555555556,0.2777777777777778,9,27,0.004736842105263158
ovr_logreg,val,usability,0.34285714285714286,0.5581395348837209,0.4247787610619469,86,140,0.045263157894736845
ovr_logreg,val,value_price,0.2215909090909091,0.6842105263157895,0.33476394849785407,57,176,0.03
ovr_logreg,val,fraud_scam,0.21052631578947367,0.4444444444444444,0.2857142857142857,18,38,0.009473684210526316
ovr_logreg,val,other,0.8455764075067024,0.9905778894472361,0.9123517500723171,1592,1865,0.8378947368421052
ovr_logreg,test,delivery_shipping,0.42152466367713004,0.5108695652173914,0.4619164619164619,184,223,0.04842105263157895
ovr_logreg,test,redemption_activation,0.21212121212121213,0.5384615384615384,0.30434782608695654,52,132,0.01368421052631579
ovr_logreg,test,product_quality,0.22626262626262628,0.448,0.3006711409395973,250,495,0.06578947368421052
ovr_logreg,test,customer_service,0.11475409836065574,0.4827586206896552,0.18543046357615894,29,122,0.007631578947368421
ovr_logreg,test,refund_return,0.22413793103448276,0.65,0.3333333333333333,20,58,0.005263157894736842
ovr_logreg,test,usability,0.39661016949152544,0.5939086294416244,0.47560975609756095,197,295,0.0518421052631579
ovr_logreg,test,value_price,0.21942446043165467,0.5648148148148148,0.3160621761658031,108,278,0.028421052631578948
ovr_logreg,test,fraud_scam,0.296875,0.5588235294117647,0.3877551020408163,34,64,0.008947368421052631
ovr_logreg,test,other,0.8409394182012276,0.9918161787850173,0.9101675332177932,3177,3747,0.8360526315789474
