model,split,label,precision,recall,f1,support_true,predicted_positive,frequency_true
ovr_logreg,val,delivery_shipping,0.4025157232704403,0.6530612244897959,0.4980544747081712,98,159,0.05157894736842105
ovr_logreg,val,redemption_activation,0.2345679012345679,0.6129032258064516,0.3392857142857143,31,81,0.01631578947368421
ovr_logreg,val,product_quality,0.2782608695652174,0.460431654676259,0.34688346883468835,139,230,0.0731578947368421
ovr_logreg,val,customer_service,0.375,0.23076923076923078,0.2857142857142857,26,16,0.01368421052631579
ovr_logreg,val,refund_return,0.1111111111111111,0.2222222222222222,0.14814814814814814,9,18,0.004736842105263158
ovr_logreg,val,usability,0.2893401015228426,0.6627906976744186,0.4028268551236749,86,197,0.045263157894736845
ovr_logreg,val,value_price,0.24,0.42105263157894735,0.3057324840764331,57,100,0.03
ovr_logreg,val,fraud_scam,0.1414141414141414,0.7777777777777778,0.23931623931623933,18,99,0.009473684210526316
ovr_logreg,val,other,0.8419936373276776,0.9974874371859297,0.9131684876365728,1592,1886,0.8378947368421052
ovr_logreg,test,delivery_shipping,0.3753943217665615,0.6467391304347826,0.4750499001996008,184,317,0.04842105263157895
ovr_logreg,test,redemption_activation,0.18518518518518517,0.4807692307692308,0.26737967914438504,52,135,0.01368421052631579
ovr_logreg,test,product_quality,0.24145785876993167,0.424,0.3076923076923077,250,439,0.06578947368421052
ovr_logreg,test,customer_service,0.36363636363636365,0.27586206896551724,0.3137254901960784,29,22,0.007631578947368421
ovr_logreg,test,refund_return,0.11428571428571428,0.2,0.14545454545454545,20,35,0.005263157894736842
ovr_logreg,test,usability,0.34413965087281795,0.700507614213198,0.46153846153846156,197,401,0.0518421052631579
ovr_logreg,test,value_price,0.23353293413173654,0.3611111111111111,0.28363636363636363,108,167,0.028421052631578948
ovr_logreg,test,fraud_scam,0.16326530612244897,0.7058823529411765,0.26519337016574585,34,147,0.008947368421052631
ovr_logreg,test,other,0.8382742191635786,0.9968523764557758,0.9107117181883537,3177,3778,0.8360526315789474
