model,split,perplexity,avg_log_prob,add_k
unigram_add_k,val,375.91194797786466,-5.929354935055329,1.0
bigram_add_k,val,358.2426370067856,-5.881210513829342,1.0
unigram_add_k,test,377.45313042803673,-5.933446403174336,1.0
bigram_add_k,test,362.7213493099825,-5.893634906729093,1.0
