model,split,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0
llm_prompt_semantic,val,0.8948638862813464,0.9414750671842341,0.4542079207920792,0.5169014084507042,0.48353096179183136,0.503015350877193,0.9484132952323657,0.9346376167185416,0.9414750671842341,,,,,,
llm_prompt_semantic,test,0.8937910687944214,0.9408646307772717,0.44944512946979037,0.5133802816901408,0.47928994082840237,0.4991783073130649,0.9480138429130304,0.9338224396027864,0.9408646307772717,,,,,,
llm_prompt_semantic_selective,val,,,,,,,,,,0.6337669304009655,0.36623306959903446,0.5953177257525084,0.5129682997118156,0.5275637225844695,0.48703170028818443
llm_prompt_semantic_selective,test,,,,,,,,,,0.6339345581332976,0.3660654418667024,0.625,0.5547550432276657,0.5675117924528302,0.4452449567723343
