model,split,train_seconds,accuracy,f1,precision_0,recall_0,f1_0,f2_0,precision_1,recall_1,f1_1,coverage,uncertain_rate,selective_precision_0,selective_recall_0,selective_f2_0,fnr_covered_0
lstm_text,val,68.21963047981262,0.754525948772965,0.8447215506637825,0.26806044297246945,0.9119718309859155,0.4143337066069429,0.6160213110075159,0.9876028959635029,0.7379576107899807,0.8447215506637825,,,,,,
lstm_text,test,68.21963047981262,0.7535872334719056,0.844054994483578,0.2671416769929781,0.9109154929577464,0.4131267965506228,0.6146645124501046,0.9874404289118348,0.7370312731584407,0.844054994483578,,,,,,
lstm_text_selective,val,68.21963047981262,,,,,,,,,,0.8958696526753386,0.10413034732466142,0.27745415318230854,0.9231873653984207,0.6299598314881943,0.07681263460157932
lstm_text_selective,test,68.21963047981262,,,,,,,,,,0.8982164409279871,0.10178355907201286,0.27713700549746684,0.9271547060944825,0.6311060925916835,0.07284529390551749
