model,split,perplexity,avg_log_prob,add_k
unigram_add_k,val,376.5149104928685,-5.930957649358479,1.0
bigram_add_k,val,358.5882553411133,-5.8821748092156,1.0
unigram_add_k,test,378.01870560388784,-5.934943680119781,1.0
bigram_add_k,test,363.07687665407815,-5.894614593258526,1.0
