label,alpha_lr,precision_1,recall_1,f1_1,f2_1,selected,note
delivery_shipping,0.0,0.3188976377952756,0.826530612244898,0.4602272727272727,0.6269349845201239,1,
delivery_shipping,0.1,0.35609756097560974,0.7448979591836735,0.48184818481848185,0.6113902847571189,0,
delivery_shipping,0.2,0.4177215189873418,0.673469387755102,0.515625,0.6,0,
delivery_shipping,0.30000000000000004,0.4634146341463415,0.5816326530612245,0.5158371040723982,0.5533980582524272,0,
delivery_shipping,0.4,0.5196078431372549,0.5408163265306123,0.53,0.5364372469635628,0,
delivery_shipping,0.5,0.5555555555555556,0.45918367346938777,0.5027932960893855,0.47568710359408034,0,
delivery_shipping,0.6000000000000001,0.5652173913043478,0.3979591836734694,0.46706586826347307,0.4229934924078091,0,
delivery_shipping,0.7000000000000001,0.5573770491803278,0.3469387755102041,0.4276729559748428,0.37527593818984545,0,
delivery_shipping,0.8,0.5535714285714286,0.3163265306122449,0.4025974025974026,0.34598214285714285,0,
delivery_shipping,0.9,0.5740740740740741,0.3163265306122449,0.40789473684210525,0.3475336322869955,0,
delivery_shipping,1.0,0.6041666666666666,0.29591836734693877,0.3972602739726027,0.32954545454545453,0,
redemption_activation,0.0,0.19,0.6129032258064516,0.2900763358778626,0.42410714285714285,1,
redemption_activation,0.1,0.2125,0.5483870967741935,0.3063063063063063,0.4166666666666667,0,
redemption_activation,0.2,0.24074074074074073,0.41935483870967744,0.3058823529411765,0.3651685393258427,0,
redemption_activation,0.30000000000000004,0.20930232558139536,0.2903225806451613,0.24324324324324326,0.2694610778443114,0,
redemption_activation,0.4,0.25,0.25806451612903225,0.25396825396825395,0.2564102564102564,0,
redemption_activation,0.5,0.2727272727272727,0.1935483870967742,0.22641509433962265,0.2054794520547945,0,
redemption_activation,0.6000000000000001,0.3157894736842105,0.1935483870967742,0.24,0.2097902097902098,0,
redemption_activation,0.7000000000000001,0.3333333333333333,0.1935483870967742,0.24489795918367346,0.2112676056338028,0,
redemption_activation,0.8,0.375,0.1935483870967742,0.2553191489361702,0.21428571428571427,0,
redemption_activation,0.9,0.3333333333333333,0.16129032258064516,0.21739130434782608,0.17985611510791366,0,
redemption_activation,1.0,0.3333333333333333,0.16129032258064516,0.21739130434782608,0.17985611510791366,0,
product_quality,0.0,0.21138211382113822,0.5611510791366906,0.30708661417322836,0.42162162162162165,0,
product_quality,0.1,0.26744186046511625,0.49640287769784175,0.34760705289672544,0.4238329238329238,1,
product_quality,0.2,0.2897727272727273,0.3669064748201439,0.3238095238095238,0.3483606557377049,0,
product_quality,0.30000000000000004,0.3055555555555556,0.23741007194244604,0.26720647773279355,0.24849397590361447,0,
product_quality,0.4,0.3333333333333333,0.19424460431654678,0.24545454545454545,0.2119309262166405,0,
product_quality,0.5,0.3442622950819672,0.1510791366906475,0.21,0.17017828200972449,0,
product_quality,0.6000000000000001,0.2978723404255319,0.10071942446043165,0.15053763440860216,0.11608623548922056,0,
