model_variant,split,threshold_delta,micro_f1,macro_f1,subset_accuracy,hamming_loss
logreg_calibrated,val,-0.1,0.6527415143603134,0.30556607105894623,0.39166666666666666,0.12314814814814815
logreg_calibrated,val,-0.05,0.6684636118598383,0.31640211340286556,0.4,0.11388888888888889
logreg_calibrated,val,0.0,0.7672131147540984,0.3211856039557714,0.6166666666666667,0.06574074074074074
logreg_calibrated,val,0.05,0.7653429602888087,0.21493074293937756,0.6833333333333333,0.06018518518518518
logreg_calibrated,val,0.1,0.7703703703703704,0.19588571752180314,0.7083333333333334,0.05740740740740741
logreg_calibrated,test,-0.1,0.6390374331550802,0.31535042768439353,0.3958333333333333,0.125
logreg_calibrated,test,-0.05,0.650137741046832,0.20731151319386615,0.4041666666666667,0.1175925925925926
logreg_calibrated,test,0.0,0.7783417935702199,0.24195340501792117,0.6666666666666666,0.060648148148148145
logreg_calibrated,test,0.05,0.822463768115942,0.27769018355506847,0.7541666666666667,0.04537037037037037
logreg_calibrated,test,0.1,0.832391713747646,0.2527542181904598,0.7916666666666666,0.0412037037037037
logreg_uncalibrated,val,-0.1,0.6402116402116402,0.2537133458924968,0.375,0.1259259259259259
logreg_uncalibrated,val,-0.05,0.6936416184971098,0.26861033539483975,0.4666666666666667,0.09814814814814815
logreg_uncalibrated,val,0.0,0.74375,0.29544572775837885,0.55,0.07592592592592592
logreg_uncalibrated,val,0.05,0.752542372881356,0.2658357833181022,0.6166666666666667,0.06759259259259259
logreg_uncalibrated,val,0.1,0.7561837455830389,0.2351822778967949,0.6416666666666667,0.06388888888888888
logreg_uncalibrated,test,-0.1,0.6372155287817939,0.222461189884165,0.37083333333333335,0.12546296296296297
logreg_uncalibrated,test,-0.05,0.6872246696035242,0.21446701446701447,0.48333333333333334,0.09861111111111111
logreg_uncalibrated,test,0.0,0.7368421052631579,0.2181616391554805,0.5791666666666667,0.0763888888888889
logreg_uncalibrated,test,0.05,0.7643097643097643,0.22398836694598373,0.625,0.06481481481481481
logreg_uncalibrated,test,0.1,0.8014184397163121,0.24518213438035266,0.6916666666666667,0.05185185185185185
