model,split,micro_f1,macro_f1,subset_accuracy,hamming_loss,label_cardinality_true,label_cardinality_pred
ovr_logreg,val,0.7850467289719626,0.4234722841070469,0.641578947368421,0.05783625730994152,1.0821052631578947,1.3394736842105264
ovr_logreg,test,0.7826182618261827,0.38877681333801806,0.6352631578947369,0.057777777777777775,1.0660526315789474,1.3260526315789474
ovr_linearsvm,val,0.7716635041113219,0.429629627928884,0.6057894736842105,0.06333333333333334,1.0821052631578947,1.4142105263157896
ovr_linearsvm,test,0.7698735804585387,0.39226365195615653,0.615,0.06280701754385964,1.0660526315789474,1.3902631578947369
ovr_blend_lr_svm,val,0.7736608088079611,0.43890302756268773,0.6089473684210527,0.06251461988304094,1.0821052631578947,1.4036842105263159
ovr_blend_lr_svm,test,0.7696611081226465,0.3823092426746245,0.6176315789473684,0.06260233918128655,1.0660526315789474,1.38
