label,alpha_lr,precision_1,recall_1,f1_1,f2_1,selected,note
delivery_shipping,0.0,0.3241106719367589,0.8367346938775511,0.4672364672364672,0.6356589147286822,1,
delivery_shipping,0.1,0.36633663366336633,0.7551020408163265,0.49333333333333335,0.622895622895623,0,
delivery_shipping,0.2,0.4012738853503185,0.6428571428571429,0.49411764705882355,0.5737704918032787,0,
delivery_shipping,0.30000000000000004,0.4634146341463415,0.5816326530612245,0.5158371040723982,0.5533980582524272,0,
delivery_shipping,0.4,0.5196078431372549,0.5408163265306123,0.53,0.5364372469635628,0,
delivery_shipping,0.5,0.5421686746987951,0.45918367346938777,0.4972375690607735,0.47368421052631576,0,
delivery_shipping,0.6000000000000001,0.5571428571428572,0.3979591836734694,0.4642857142857143,0.42207792207792205,0,
delivery_shipping,0.7000000000000001,0.5573770491803278,0.3469387755102041,0.4276729559748428,0.37527593818984545,0,
delivery_shipping,0.8,0.5614035087719298,0.32653061224489793,0.4129032258064516,0.35634743875278396,0,
delivery_shipping,0.9,0.5740740740740741,0.3163265306122449,0.40789473684210525,0.3475336322869955,0,
delivery_shipping,1.0,0.6041666666666666,0.29591836734693877,0.3972602739726027,0.32954545454545453,0,
redemption_activation,0.0,0.21649484536082475,0.6774193548387096,0.328125,0.4751131221719457,1,
redemption_activation,0.1,0.2077922077922078,0.5161290322580645,0.2962962962962963,0.39800995024875624,0,
redemption_activation,0.2,0.24074074074074073,0.41935483870967744,0.3058823529411765,0.3651685393258427,0,
redemption_activation,0.30000000000000004,0.21951219512195122,0.2903225806451613,0.25,0.2727272727272727,0,
redemption_activation,0.4,0.21212121212121213,0.22580645161290322,0.21875,0.2229299363057325,0,
redemption_activation,0.5,0.2727272727272727,0.1935483870967742,0.22641509433962265,0.2054794520547945,0,
redemption_activation,0.6000000000000001,0.3,0.1935483870967742,0.23529411764705882,0.20833333333333334,0,
redemption_activation,0.7000000000000001,0.3333333333333333,0.1935483870967742,0.24489795918367346,0.2112676056338028,0,
redemption_activation,0.8,0.375,0.1935483870967742,0.2553191489361702,0.21428571428571427,0,
redemption_activation,0.9,0.3333333333333333,0.16129032258064516,0.21739130434782608,0.17985611510791366,0,
redemption_activation,1.0,0.3333333333333333,0.16129032258064516,0.21739130434782608,0.17985611510791366,0,
product_quality,0.0,0.21195652173913043,0.5611510791366906,0.3076923076923077,0.42207792207792205,1,
product_quality,0.1,0.2677165354330709,0.4892086330935252,0.3460559796437659,0.41975308641975306,0,
product_quality,0.2,0.28488372093023256,0.35251798561151076,0.31511254019292606,0.33653846153846156,0,
product_quality,0.30000000000000004,0.3148148148148148,0.2446043165467626,0.27530364372469635,0.2560240963855422,0,
product_quality,0.4,0.3375,0.19424460431654678,0.2465753424657534,0.21226415094339623,0,
product_quality,0.5,0.3548387096774194,0.15827338129496402,0.21890547263681592,0.1779935275080906,0,
product_quality,0.6000000000000001,0.30434782608695654,0.10071942446043165,0.15135135135135136,0.11627906976744186,0,
product_quality,0.7000000000000001,0.2692307692307692,0.050359712230215826,0.08484848484848485,0.06013745704467354,0,
product_quality,0.8,0.25,0.03597122302158273,0.06289308176100629,0.043402777777777776,0,
product_quality,0.9,0.2222222222222222,0.02877697841726619,0.050955414012738856,0.03484320557491289,0,
product_quality,1.0,0.23529411764705882,0.02877697841726619,0.05128205128205128,0.034904013961605584,0,
customer_service,0.0,0.15789473684210525,0.46153846153846156,0.23529411764705882,0.3333333333333333,0,
customer_service,0.1,0.2619047619047619,0.4230769230769231,0.3235294117647059,0.3767123287671233,1,
customer_service,0.2,0.29411764705882354,0.38461538461538464,0.3333333333333333,0.36231884057971014,0,
customer_service,0.30000000000000004,0.3333333333333333,0.3076923076923077,0.32,0.3125,0,
customer_service,0.4,0.5384615384615384,0.2692307692307692,0.358974358974359,0.29914529914529914,0,
customer_service,0.5,0.5,0.19230769230769232,0.2777777777777778,0.21929824561403508,0,
customer_service,0.6000000000000001,0.5,0.19230769230769232,0.2777777777777778,0.21929824561403508,0,
customer_service,0.7000000000000001,0.5,0.19230769230769232,0.2777777777777778,0.21929824561403508,0,
customer_service,0.8,0.5,0.19230769230769232,0.2777777777777778,0.21929824561403508,0,
customer_service,0.9,0.5,0.15384615384615385,0.23529411764705882,0.17857142857142858,0,
customer_service,1.0,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.13513513513513514,0,
refund_return,0.0,0.125,0.1111111111111111,0.11764705882352941,0.11363636363636363,0,
refund_return,0.1,0.14285714285714285,0.1111111111111111,0.125,0.11627906976744186,0,
refund_return,0.2,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.11904761904761904,0,
refund_return,0.30000000000000004,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.11904761904761904,0,
refund_return,0.4,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.11904761904761904,0,
refund_return,0.5,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.11904761904761904,0,
refund_return,0.6000000000000001,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.11904761904761904,0,
refund_return,0.7000000000000001,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.1282051282051282,1,
