model_variant,split,threshold_delta,micro_f1,macro_f1,subset_accuracy,hamming_loss
logreg_calibrated,val,-0.1,0.6918899348298334,0.38668021939238767,0.3936842105263158,0.09953216374269006
logreg_calibrated,val,-0.05,0.7050197405527355,0.39102965573350257,0.4131578947368421,0.09175438596491228
logreg_calibrated,val,0.0,0.7850467289719626,0.4234722841070469,0.641578947368421,0.05783625730994152
logreg_calibrated,val,0.05,0.7989031078610603,0.3989122005470382,0.6984210526315789,0.05146198830409357
logreg_calibrated,val,0.1,0.801789077212806,0.3602540887649634,0.7273684210526316,0.04923976608187135
logreg_calibrated,test,-0.1,0.6976744186046512,0.3710498375196557,0.4192105263157895,0.0954093567251462
logreg_calibrated,test,-0.05,0.7109666316091404,0.37639511381728413,0.4318421052631579,0.08839181286549708
logreg_calibrated,test,0.0,0.7826182618261827,0.38877681333801806,0.6352631578947369,0.057777777777777775
logreg_calibrated,test,0.05,0.7957608570441194,0.36770298381127586,0.6944736842105264,0.0518421052631579
logreg_calibrated,test,0.1,0.8013237206004018,0.36030686767825304,0.7215789473684211,0.04915204678362573
logreg_uncalibrated,val,-0.1,0.7316312609627753,0.39227193568966645,0.5257894736842105,0.08052631578947368
logreg_uncalibrated,val,-0.05,0.7506561679790026,0.4136980150860072,0.5652631578947368,0.07222222222222222
logreg_uncalibrated,val,0.0,0.7691663175534144,0.4355222176990782,0.6063157894736843,0.06444444444444444
logreg_uncalibrated,val,0.05,0.7736464448793215,0.40701532558736203,0.6389473684210526,0.06087719298245614
logreg_uncalibrated,val,0.1,0.7842960288808665,0.3886608312785879,0.6752631578947368,0.05590643274853801
logreg_uncalibrated,test,-0.1,0.7398901647528707,0.39557999875966454,0.5484210526315789,0.07616959064327486
logreg_uncalibrated,test,-0.05,0.7588571428571429,0.41156296043519086,0.5842105263157895,0.06786549707602339
logreg_uncalibrated,test,0.0,0.770530367835757,0.40924090518294626,0.616578947368421,0.0627485380116959
logreg_uncalibrated,test,0.05,0.7807415605976757,0.40058055889473576,0.6513157894736842,0.057923976608187135
logreg_uncalibrated,test,0.1,0.7869301953615903,0.3843067670730688,0.6792105263157895,0.05453216374269006
blend_lr_svm,val,-0.1,0.6687587168758717,0.34787501339484433,0.36894736842105263,0.1111111111111111
blend_lr_svm,val,-0.05,0.7347260543949546,0.3992328341444072,0.5131578947368421,0.07871345029239767
blend_lr_svm,val,0.0,0.7736608088079611,0.43890302756268773,0.6089473684210527,0.06251461988304094
blend_lr_svm,val,0.05,0.7850759606791778,0.3995539243891124,0.6705263157894736,0.05625730994152047
blend_lr_svm,val,0.1,0.7953216374269005,0.3664139698987193,0.7131578947368421,0.05116959064327485
blend_lr_svm,test,-0.1,0.6841679403038748,0.3590866729479985,0.3960526315789474,0.10271929824561403
blend_lr_svm,test,-0.05,0.7427189358057039,0.3931848180124108,0.5352631578947369,0.07464912280701755
blend_lr_svm,test,0.0,0.7696611081226465,0.3823092426746245,0.6176315789473684,0.06260233918128655
blend_lr_svm,test,0.05,0.7894438781288934,0.383970367814571,0.6760526315789473,0.05435672514619883
blend_lr_svm,test,0.1,0.7945786682380672,0.3472852429069426,0.7113157894736842,0.050964912280701755
